target,history,test_year,test_fy,spec,model,n,train_n,ridge_alpha,MAE,RMSE,R2
maintenance_ratio_pct,long,2018,2018-19,fiscal_plus_fire,tree,102,304,,19.399954603469073,39.41355759459789,-0.00828855787958771
maintenance_ratio_pct,long,2018,2018-19,fiscal_plus_disaster,ridge,102,304,100.0,16.44933688607406,37.668479594754416,0.07902096026022665
maintenance_ratio_pct,long,2018,2018-19,fiscal_plus_disaster,tree,102,304,,19.399954603469073,39.4135575945979,-0.008288557879587932
maintenance_ratio_pct,long,2019,2019-20,baseline,persistence,101,404,,20.798594046883554,52.872352967057246,-0.0955769840051397
maintenance_ratio_pct,long,2019,2019-20,baseline,training_mean,101,404,,18.937502551381694,50.657404253595494,-0.005707035268495586
maintenance_ratio_pct,long,2019,2019-20,fiscal_only,ridge,101,404,100.0,18.84763629899247,50.56237293867436,-0.0019372402242185949
maintenance_ratio_pct,long,2019,2019-20,fiscal_only,tree,101,404,,19.99849852030029,50.885544250646205,-0.014786010371317992
maintenance_ratio_pct,long,2019,2019-20,fiscal_plus_fire,ridge,101,404,100.0,19.071766207332853,50.5683051777679,-0.0021723589338402682
maintenance_ratio_pct,long,2019,2019-20,fiscal_plus_fire,tree,101,404,,19.998498520300295,50.885544250646205,-0.014786010371318214
maintenance_ratio_pct,long,2019,2019-20,fiscal_plus_disaster,ridge,101,404,100.0,19.04165503430621,50.695423082914395,-0.007217185772124379
maintenance_ratio_pct,long,2019,2019-20,fiscal_plus_disaster,tree,101,404,,19.998498520300295,50.885544250646205,-0.014786010371317992
maintenance_ratio_pct,long,2020,2020-21,baseline,persistence,100,506,,18.82808480946881,36.81438638900547,-2.1800044285425337
maintenance_ratio_pct,long,2020,2020-21,baseline,training_mean,100,506,,14.511171465568076,20.700196365595296,-0.00540611645461353
maintenance_ratio_pct,long,2020,2020-21,fiscal_only,ridge,100,506,100.0,13.43075219421057,17.93603853548705,0.2451760890451512
maintenance_ratio_pct,long,2020,2020-21,fiscal_only,tree,100,506,,13.88602791774812,19.74231710929718,0.08548919866849125
maintenance_ratio_pct,long,2020,2020-21,fiscal_plus_fire,ridge,100,506,100.0,21.68753472302296,32.73892796752502,-1.5149045186324681
maintenance_ratio_pct,long,2020,2020-21,fiscal_plus_fire,tree,100,506,,13.886027917748121,19.742317109297186,0.0854891986684908
maintenance_ratio_pct,long,2020,2020-21,fiscal_plus_disaster,ridge,100,506,100.0,19.392503566760254,26.832058775315836,-0.6892758973814141
maintenance_ratio_pct,long,2020,2020-21,fiscal_plus_disaster,tree,100,506,,13.886027917748118,19.74231710929718,0.08548919866849125
maintenance_ratio_pct,long,2021,2021-22,baseline,persistence,102,607,,25.46149411155226,56.02947124231029,-3.2744928617290805
maintenance_ratio_pct,long,2021,2021-22,baseline,training_mean,102,607,,20.281539169837135,27.118376582380847,-0.0013339079056189362
maintenance_ratio_pct,long,2021,2021-22,fiscal_only,ridge,102,607,100.0,19.499979883785453,27.32866887599795,-0.016924019501601162
maintenance_ratio_pct,long,2021,2021-22,fiscal_only,tree,102,607,,20.732448485534462,28.650999699223494,-0.11771507482229526
maintenance_ratio_pct,long,2021,2021-22,fiscal_plus_fire,ridge,102,607,100.0,19.544029743713764,27.235892090844494,-0.010031126565417381
maintenance_ratio_pct,long,2021,2021-22,fiscal_plus_fire,tree,102,607,,20.73244848553447,28.650999699223494,-0.11771507482229526
maintenance_ratio_pct,long,2021,2021-22,fiscal_plus_disaster,ridge,102,607,100.0,19.659206803018943,27.28078115380251,-0.01336325270936145
maintenance_ratio_pct,long,2021,2021-22,fiscal_plus_disaster,tree,102,607,,20.732448485534434,28.6509996992235,-0.11771507482229548
maintenance_ratio_pct,long,2022,2022-23,baseline,persistence,100,707,,22.466911493613484,34.54520870675346,0.04611918859182518
maintenance_ratio_pct,long,2022,2022-23,baseline,training_mean,100,707,,24.093688837346896,35.858779254224835,-0.02780203262241221
