target,history,test_year,model,augmented,reference,n,MAE_improvement,RMSE_improvement,R2_improvement
operating_ratio_pct,long,2018,tree,fiscal_plus_disaster,fiscal_only,103,0.0,0.0,0.0
operating_ratio_pct,long,2018,tree,fiscal_plus_disaster,fiscal_plus_fire,103,0.0,0.0,0.0
operating_ratio_pct,long,2019,ridge,fiscal_plus_fire,fiscal_only,102,-0.1405339218736401,-0.1615222716757554,-0.04411247342340752
operating_ratio_pct,long,2019,ridge,fiscal_plus_disaster,fiscal_only,102,1.2391544180553096,1.1235754410409573,0.2878554618274016
operating_ratio_pct,long,2019,ridge,fiscal_plus_disaster,fiscal_plus_fire,102,1.3796883399289497,1.2850977127167127,0.33196793525080914
operating_ratio_pct,long,2019,tree,fiscal_plus_fire,fiscal_only,102,0.0,0.0,0.0
operating_ratio_pct,long,2019,tree,fiscal_plus_disaster,fiscal_only,102,0.0,-1.7763568394002505e-15,-4.440892098500626e-16
operating_ratio_pct,long,2019,tree,fiscal_plus_disaster,fiscal_plus_fire,102,0.0,-1.7763568394002505e-15,-4.440892098500626e-16
operating_ratio_pct,long,2020,ridge,fiscal_plus_fire,fiscal_only,102,-2.897279905353395,-4.348866542836568,-1.2169255419591922
operating_ratio_pct,long,2020,ridge,fiscal_plus_disaster,fiscal_only,102,-1.279756344663621,-1.3379911195631031,-0.3192083623957813
operating_ratio_pct,long,2020,ridge,fiscal_plus_disaster,fiscal_plus_fire,102,1.617523560689774,3.0108754232734647,0.8977171795634109
operating_ratio_pct,long,2020,tree,fiscal_plus_fire,fiscal_only,102,0.0,0.0,2.220446049250313e-16
operating_ratio_pct,long,2020,tree,fiscal_plus_disaster,fiscal_only,102,0.2280138408304504,-0.05570347044166901,-0.013294045691214507
operating_ratio_pct,long,2020,tree,fiscal_plus_disaster,fiscal_plus_fire,102,0.2280138408304504,-0.05570347044166901,-0.013294045691214729
operating_ratio_pct,long,2021,ridge,fiscal_plus_fire,fiscal_only,103,0.04652992628306407,0.03805753705966808,0.007411729197906336
operating_ratio_pct,long,2021,ridge,fiscal_plus_disaster,fiscal_only,103,-0.1448206362127591,-0.10113488634348666,-0.01987177990101452
operating_ratio_pct,long,2021,ridge,fiscal_plus_disaster,fiscal_plus_fire,103,-0.19135056249582316,-0.13919242340315474,-0.027283509098920855
operating_ratio_pct,long,2021,tree,fiscal_plus_fire,fiscal_only,103,-1.7763568394002505e-15,0.0,0.0
operating_ratio_pct,long,2021,tree,fiscal_plus_disaster,fiscal_only,103,0.2706622880138969,0.24518882966904787,0.049472963526671965
operating_ratio_pct,long,2021,tree,fiscal_plus_disaster,fiscal_plus_fire,103,0.2706622880138987,0.24518882966904787,0.049472963526671965
operating_ratio_pct,long,2022,ridge,fiscal_plus_fire,fiscal_only,101,0.028045290168949855,0.026718747069450544,0.005830608571340656
operating_ratio_pct,long,2022,ridge,fiscal_plus_disaster,fiscal_only,101,-0.3813286463123058,-0.3533495286895736,-0.07861782733701794
operating_ratio_pct,long,2022,ridge,fiscal_plus_disaster,fiscal_plus_fire,101,-0.40937393648125564,-0.38006827575902413,-0.0844484359083586
operating_ratio_pct,long,2022,tree,fiscal_plus_fire,fiscal_only,101,0.0,0.0,0.0
operating_ratio_pct,long,2022,tree,fiscal_plus_disaster,fiscal_only,101,0.7432583235519736,0.5394466754174942,0.12783560230785485
operating_ratio_pct,long,2022,tree,fiscal_plus_disaster,fiscal_plus_fire,101,0.7432583235519736,0.5394466754174942,0.12783560230785485
operating_ratio_pct,long,2023,ridge,fiscal_plus_fire,fiscal_only,103,-0.004251039058192241,-0.006163357576376427,-0.0009671481493741529
operating_ratio_pct,long,2023,ridge,fiscal_plus_disaster,fiscal_only,103,-0.013572576444990325,0.014321345211181224,0.0022445770814757404
operating_ratio_pct,long,2023,ridge,fiscal_plus_disaster,fiscal_plus_fire,103,-0.009321537386798084,0.02048470278755765,0.0032117252308498934
operating_ratio_pct,long,2023,tree,fiscal_plus_fire,fiscal_only,103,0.0,0.0,0.0
operating_ratio_pct,long,2023,tree,fiscal_plus_disaster,fiscal_only,103,0.019970676128568954,0.008856261807144605,0.0014206292580742907
operating_ratio_pct,long,2023,tree,fiscal_plus_disaster,fiscal_plus_fire,103,0.019970676128568954,0.008856261807144605,0.0014206292580742907
operating_ratio_pct,short_2017_onward,2021,ridge,fiscal_plus_fire,fiscal_only,103,0.004871072456384518,-0.02940409968011437,-0.0063232456597466236
